timestamp,date,hour,distance,smoothed_distance
2026-03-16T20:36:24.118179,2026-03-16,20:36,0.1335,0.1497
2026-03-16T20:36:25.140166,2026-03-16,20:36,0.1275,0.1307
2026-03-16T20:36:26.812553,2026-03-16,20:36,0.0920,0.1376
2026-03-16T20:36:32.754184,2026-03-16,20:36,0.0891,0.0891
2026-03-16T20:36:33.940193,2026-03-16,20:36,0.0938,0.0961
2026-03-16T20:36:37.938846,2026-03-16,20:36,0.1068,0.1380
2026-03-16T20:36:39.123109,2026-03-16,20:36,0.0707,0.0757
2026-03-16T20:36:40.131782,2026-03-16,20:36,0.0832,0.0824
2026-03-16T20:36:41.524156,2026-03-16,20:36,0.1335,0.1077
2026-03-16T20:36:51.043868,2026-03-16,20:36,0.0797,0.0797
2026-03-16T20:36:52.275234,2026-03-16,20:36,0.0838,0.0806
2026-03-16T20:36:56.602584,2026-03-16,20:36,0.0988,0.0988
2026-03-16T20:37:17.330667,2026-03-16,20:37,0.0716,0.0716
2026-03-16T20:37:18.340179,2026-03-16,20:37,0.1082,0.1165
2026-03-16T20:37:19.731995,2026-03-16,20:37,0.0800,0.0858
2026-03-16T20:37:20.936942,2026-03-16,20:37,0.0853,0.0878
2026-03-16T20:37:22.163221,2026-03-16,20:37,0.0874,0.0885
2026-03-16T20:38:21.700073,2026-03-16,20:38,0.1182,0.1182
2026-03-16T20:38:22.707125,2026-03-16,20:38,0.1103,0.1146
2026-03-16T20:38:24.109048,2026-03-16,20:38,0.1286,0.1341
2026-03-16T20:39:02.546945,2026-03-16,20:39,0.0629,0.0629
2026-03-16T20:39:07.351507,2026-03-16,20:39,0.0840,0.0840
2026-03-16T20:39:08.371109,2026-03-16,20:39,0.0617,0.0676
2026-03-16T20:39:09.778764,2026-03-16,20:39,0.0517,0.0363
2026-03-16T20:39:26.355972,2026-03-16,20:39,0.0499,0.0499
2026-03-16T20:39:27.721653,2026-03-16,20:39,0.0287,0.0287
2026-03-16T20:39:34.547193,2026-03-16,20:39,0.0583,0.0583
2026-03-16T20:39:35.762922,2026-03-16,20:39,0.0900,0.0859
2026-03-16T20:39:37.060050,2026-03-16,20:39,0.0890,0.0890
2026-03-16T20:39:38.069730,2026-03-16,20:39,0.0826,0.0795
2026-03-16T20:40:19.011959,2026-03-16,20:40,0.0911,0.1408
2026-03-16T20:40:22.297927,2026-03-16,20:40,0.0709,0.0709
2026-03-16T20:40:23.298846,2026-03-16,20:40,0.0546,0.0614
2026-03-16T20:40:26.435071,2026-03-16,20:40,0.0454,0.0454
2026-03-16T20:40:27.460071,2026-03-16,20:40,0.0444,0.0528
2026-03-16T20:40:46.099734,2026-03-16,20:40,0.1097,0.1097
2026-03-16T20:41:17.969412,2026-03-16,20:41,0.0482,0.0482
2026-03-16T20:41:20.659168,2026-03-16,20:41,0.1367,0.1367
2026-03-16T20:41:21.680188,2026-03-16,20:41,0.0905,0.0954
2026-03-16T20:41:44.644178,2026-03-16,20:41,0.1402,0.1402
2026-03-16T20:43:44.934072,2026-03-16,20:43,0.1049,0.1049
2026-03-16T20:43:49.542751,2026-03-16,20:43,0.1117,0.1439
2026-03-16T20:43:50.745780,2026-03-16,20:43,0.0662,0.0620
2026-03-16T20:45:14.282638,2026-03-16,20:45,0.0943,0.0943
2026-03-16T20:45:48.209127,2026-03-16,20:45,0.1290,0.1495
2026-03-16T20:45:49.463251,2026-03-16,20:45,0.1500,0.1469
2026-03-16T20:46:11.409025,2026-03-16,20:46,0.1175,0.1175
2026-03-16T20:46:12.447199,2026-03-16,20:46,0.1126,0.0916
2026-03-16T20:46:17.678075,2026-03-16,20:46,0.0592,0.0592
2026-03-16T20:46:18.911887,2026-03-16,20:46,0.0545,0.0729
2026-03-16T20:46:20.143293,2026-03-16,20:46,0.0220,0.0234
2026-03-16T20:46:21.356137,2026-03-16,20:46,0.0219,0.0244
2026-03-16T20:46:23.846007,2026-03-16,20:46,0.0913,0.1049
2026-03-16T20:46:29.855737,2026-03-16,20:46,0.0381,0.0623
2026-03-16T20:46:43.919022,2026-03-16,20:46,0.0578,0.0578
2026-03-16T20:46:45.151970,2026-03-16,20:46,0.0854,0.0827
2026-03-16T20:46:46.368095,2026-03-16,20:46,0.0469,0.0424
2026-03-16T20:46:47.583970,2026-03-16,20:46,0.0186,0.0185
2026-03-16T20:46:52.623742,2026-03-16,20:46,0.0872,0.0872
2026-03-16T20:46:55.007111,2026-03-16,20:46,0.0549,0.0549
2026-03-16T20:46:56.208329,2026-03-16,20:46,0.0593,0.0620
2026-03-16T20:46:59.184055,2026-03-16,20:46,0.0392,0.0392
2026-03-16T20:47:02.191861,2026-03-16,20:47,0.1033,0.1046
